1,11,27:22.0,27:31.9,00:09.9,-32.67786003,-18.5271984,-0.841148314,4.317734664,1000,36.39930489,,,"8 directions , 4 features"
2,35,27:42.6,27:53.2,00:10.6,-38.88772785,-185.3931606,-5.051979552,0.85535235,769.85891,-215.6403906,,,
1,1,31:42.4,31:55.3,00:12.9,11,-31.16778285,-22.62288386,-1,4.974860712,1000,33.95872177,,
2,40,32:05.7,32:18.4,00:12.7,17,99.64659088,-98.14414872,-12.43810252,10.50568902,589.4476324,-253.3545929,,
3,35,32:43.8,32:52.4,00:08.6,78,149.1445855,277.9689517,1.791336988,20.82010597,418.8477489,-69.19289222,,
4,225,35:13.7,35:24.2,00:10.5,651,-49.99326908,3.318964927,-12.70878663,15.06726035,143.8724415,-11.96136298,,
5,63,36:19.7,36:28.7,00:09.0,263,-33.29938262,-8.822612533,-13.50942906,14.61710541,32.5106504,1.690876351,,
6,24,36:54.4,37:07.2,00:12.8,110,-33.72395221,-14.57326213,-13.75171607,14.86641677,15.6471304,-10.03968989,,
7,26,37:34.7,37:46.9,00:12.2,122,-29.48673012,-15.29020022,-13.6945374,14.79756355,11.18710495,0.703904065,,
8,40,38:18.2,38:30.6,00:12.4,143,-27.37122201,-16.03335289,-13.27609392,14.97091054,4.488953343,-5.124398725,,
9,101,41:00.5,41:10.4,00:09.9,745,-29.80969383,-20.5779537,-13.40152232,15.0917752,5.700198223,0.772669811,,
10,43,41:34.9,41:44.7,00:09.8,116,-28.26970594,-25.35600405,-13.39093462,15.4020985,5.700198223,-1.001734011,,
11,153,43:38.1,43:45.9,00:07.7,534,-26.00321198,-15.386531,-12.89684035,15.07137805,1.822491401,-1.073287404,,
12,52,44:26.6,44:34.6,00:07.9,175,-26.10288414,-12.34243753,-12.15742964,14.92345401,5.58492917,7.74598708,,
13,19,44:45.3,44:54.9,00:09.6,35,-33.50109366,-16.57602287,-11.34362072,15.11190661,5.58492917,7.74598708,,
14,22,46:43.0,46:51.9,00:08.9,533,-30.80473823,-21.92477101,-10.8151536,15.00203706,0.371694991,6.032171055,,
15,102,48:09.7,48:19.6,00:09.9,346,-26.04512354,-23.1413149,-10.87686178,14.3848146,-2.635493333,0.676870604,,
16,30,49:01.3,49:10.4,00:09.1,207,-25.87940027,-28.07548125,-10.79580747,14.34731955,-0.015547849,0.054256935,,
17,31,49:52.0,50:00.2,00:08.2,200,-25.21101657,-27.03287225,-10.79567515,14.90753542,-0.268688589,1.358468109,,
18,10,50:17.8,50:25.7,00:07.9,84,-24.2325229,-26.88162716,-10.79334731,14.95343003,-0.572704241,0.015947849,,
19,33,51:00.3,51:08.0,00:07.7,149,-19.12023854,-25.76751719,-10.76826897,14.03612694,4.633790908,1.416112004,,
20,45,52:15.6,52:26.7,00:11.1,335,-22.39444866,-30.73545618,-10.75993068,14.16423419,2.832437742,-0.706145273,,
21,72,53:43.5,53:52.5,00:09.0,370,-23.41186802,-28.36599853,-10.6663714,12.25520983,1.009492503,-0.225406696,,
22,15,54:13.2,54:23.0,00:09.8,84,-21.96516461,-29.55684419,-10.65316946,12.37569391,3.041352732,0.621102286,,
23,85,55:27.4,55:36.9,00:09.5,306,-21.56493267,-29.1047957,-10.66356442,12.63723037,3.041352732,-1.188153535,,
24,3,55:46.4,55:55.7,00:09.2,47,-22.44896077,-26.60997362,-10.65807573,12.87044909,3.041352732,-1.188153535,,
25,48,57:02.2,57:12.6,00:10.4,327,-24.46165357,-27.45275345,-10.64431009,13.04721522,1.95983779,-1.917086813,,
26,26,57:48.3,57:59.1,00:10.8,165,-14.47437093,-14.03767584,-10.53291219,12.2192893,6.695228007,4.440346289,,
27,34,58:29.8,58:42.3,00:12.6,133,-28.23170618,-24.46659419,-10.38402161,12.68191912,4.937462197,3.120863143,,
28,31,59:22.0,59:30.7,00:08.8,196,-26.54503871,-25.13879909,-10.31730987,12.58774211,2.955558373,0.385131048,,
29,43,59:52.2,00:02.1,00:09.8,107,-24.36658492,-27.45034721,-10.32674846,12.78024629,1.299230022,-1.687457697,,
30,38,00:33.7,00:43.4,00:09.7,147,-24.76610077,-21.32416369,-10.26913911,13.73329616,2.990834221,0.89538542,,
1,46,30:51.7,31:01.6,00:10.0,124,59.82774878,-131.2174899,-6.639042653,2.919397204,666.6747423,-111.756218,,
2,12,31:10.9,31:18.7,00:07.8,21,84.15288392,-108.9968544,-5.725001638,3.518749868,666.6747423,-111.756218,,
3,23,31:42.1,31:54.4,00:12.2,109,66.54843682,-119.723643,-5.725001638,3.355793328,666.6747423,-111.756218,,
4,202,32:55.8,33:04.8,00:08.9,272,-39.45676838,58.62838538,3.76543671,18.85788087,144.6077645,-207.3222179,,
