1,87,59:25.3,59:37.8,00:12.4,697
2,3,59:58.5,00:07.4,00:08.9,187
3,9,00:15.9,00:24.6,00:08.7,48
4,85,02:10.9,02:22.1,00:11.2,998
5,25,03:03.6,03:13.8,00:10.1,322
6,63,04:01.3,04:09.4,00:08.1,337
7,3,04:15.1,04:23.4,00:08.3,52
8,82,05:34.1,05:45.3,00:11.2,580
9,35,06:00.9,06:11.4,00:10.5,126
10,44,06:58.8,07:07.2,00:08.5,376
11,10,07:35.8,07:47.2,00:11.4,268
12,40,08:08.9,08:17.0,00:08.1,134
13,21,08:30.6,08:39.5,00:09.0,108
14,29,09:09.2,09:16.8,00:07.6,227
15,15,09:41.4,09:52.0,00:10.6,226
16,51,10:40.6,10:48.9,00:08.3,405
17,11,11:08.6,11:18.6,00:10.0,168
18,25,12:23.1,12:32.7,00:09.5,637
19,14,12:45.6,12:57.7,00:12.1,100
20,18,13:18.4,13:28.2,00:09.8,176
21,21,13:52.0,14:03.3,00:11.3,208
22,183,15:43.8,15:55.9,00:12.2,855
23,0,59:23.5,59:34.8,00:11.3,15
24,48,00:07.5,00:16.2,00:08.7,257
25,14,00:24.6,00:33.3,00:08.7,65
26,1,31:42.4,31:55.3,00:12.9,11
27,40,32:05.7,32:18.4,00:12.7,17
28,35,32:43.8,32:52.4,00:08.6,78
29,225,35:13.7,35:24.2,00:10.5,651
30,63,36:19.7,36:28.7,00:09.0,263
31,24,36:54.4,37:07.2,00:12.8,110
32,26,37:34.7,37:46.9,00:12.2,122
33,40,38:18.2,38:30.6,00:12.4,143
34,101,41:00.5,41:10.4,00:09.9,745
35,43,41:34.9,41:44.7,00:09.8,116
36,153,43:38.1,43:45.9,00:07.7,534
37,52,44:26.6,44:34.6,00:07.9,175
38,19,44:45.3,44:54.9,00:09.6,35
39,22,46:43.0,46:51.9,00:08.9,533
40,102,48:09.7,48:19.6,00:09.9,346
41,30,49:01.3,49:10.4,00:09.1,207
42,31,49:52.0,50:00.2,00:08.2,200
43,10,50:17.8,50:25.7,00:07.9,84
44,33,51:00.3,51:08.0,00:07.7,149
45,45,52:15.6,52:26.7,00:11.1,335
46,72,53:43.5,53:52.5,00:09.0,370
47,15,54:13.2,54:23.0,00:09.8,84
48,85,55:27.4,55:36.9,00:09.5,306
49,3,55:46.4,55:55.7,00:09.2,47
50,48,57:02.2,57:12.6,00:10.4,327
51,26,57:48.3,57:59.1,00:10.8,165
52,34,58:29.8,58:42.3,00:12.6,133
53,31,59:22.0,59:30.7,00:08.8,196
54,43,59:52.2,00:02.1,00:09.8,107
