1,28.0,2018-12-18 10:43:24.757890,2018-12-18 10:43:33.457489,0:00:08.699599,141,-16.860679661293048,-4.494029187044442,-4.0,1.449349718995941,-30.860679661293048,-30.860679661293048
2,3.0,2018-12-18 10:43:45.040612,2018-12-18 10:43:55.361373,0:00:10.320761,89,-17.25859415277126,-23.22128721538111,-4.0,1.5037891399641337,-31.25859415277126,-31.25859415277126
3,18.0,2018-12-18 10:44:07.984849,2018-12-18 10:44:16.307735,0:00:08.322886,65,-19.714197644470772,-10.645262778857496,-3.9297054219006653,1.3695363200434718,-28.464748221194803,-28.464748221194803
4,139.0,2018-12-18 10:45:03.908305,2018-12-18 10:45:13.339408,0:00:09.431103,374,-17.85424631535482,-26.325696617292685,-3.9317365680190965,2.604030880392181,-26.601509270620724,-26.601509270620724
5,96.0,2018-12-18 10:45:28.943168,2018-12-18 10:45:38.878937,0:00:09.935769,90,-23.06802595877495,-20.048590060713533,-3.9317365680190965,2.105328554106107,-31.815288914040853,-31.815288914040853
6,13.0,2018-12-18 10:45:46.605302,2018-12-18 10:45:56.514226,0:00:09.908924,46,-20.8613302574509,-11.358962805174974,-3.9317365680190965,2.553037292844956,-29.6085932127168,-29.6085932127168
7,72.0,2018-12-18 10:47:06.113064,2018-12-18 10:47:13.914247,0:00:07.801183,604,-23.619063136612752,-4.212086140718978,-3.8402633222592226,2.1971814095721522,-28.038441747297995,-28.038441747297995
8,41.0,2018-12-18 10:47:36.385226,2018-12-18 10:47:44.443400,0:00:08.058174,215,-27.44251880484897,-25.73875957046393,-3.737210405229433,3.188475428077145,-26.714139130579305,-26.714139130579305
9,57.0,2018-12-18 10:48:26.040693,2018-12-18 10:48:36.221453,0:00:10.180760,352,-25.571143501590814,-25.36401494852219,-3.7949659510448397,3.1332323057655542,-26.28952001510961,-26.28952001510961
10,21.0,2018-12-18 10:49:38.883318,2018-12-18 10:49:49.502288,0:00:10.618970,584,-25.09883529383665,-17.109466160620062,-3.802554408442027,2.857194555743483,-26.572382926442558,-26.572382926442558
11,64.0,2018-12-18 10:50:48.184404,2018-12-18 10:50:59.281904,0:00:11.097500,451,-23.965399222960105,-24.929796412837117,-3.850127673724886,3.5919712895051834,-27.596421277826742,-27.596421277826742
